id;name;label_short;type;status;open_year;open_window;budget_msek;price_base;agency;kommuner;stations;source_url;source_doc;notes
kiruna-ny-jarnvagsstation;Kiruna, ny järnvägsstation;Kiruna station;rail;study;;;1405;2025-02;Trafikverket;Kiruna;Kiruna;https://www.trafikverket.se/vara-projekt/projekt-i-norrbottens-lan/kiruna-ny-jarnvagsstation/;https://bransch.trafikverket.se/contentassets/2fca968f05c545d59749ce9d442e117a/bilaga1_nationell_plan_for_transportinfrastrukturen_2026-2037-webb.xlsx;"Railway plan submitted for approval; byggstart 'ej bestämd'. Moves the temporary station to the new centre. Plan footnote (3): the object gets 0 kr from the planning frame and presupposes full funding from other parties."
lommabanan-etapp-2;Malmöpendeln Lommabanan, etapp 2;Lommabanan et. 2;rail;decided;2027;;378;2025-02;Trafikverket;Kävlinge|Lomma|Burlöv;Alnarp|Flädie;https://www.trafikverket.se/vara-projekt/projekt-i-skane-lan/Lommabanan/;https://bransch.trafikverket.se/contentassets/2fca968f05c545d59749ce9d442e117a/bilaga1_nationell_plan_for_transportinfrastrukturen_2026-2037-webb.xlsx;"Railway plan established, contractor procurement under way; full line closure summer 2027 and opening December 2027. Etapp 1 (stations Lomma and Furulund) opened December 2020."
malmo-c-fler-plattformsspar;Malmö C, fler plattformsspår;Malmö C plattformar;rail;decided;2029;;201;2025-02;Trafikverket;Malmö;Malmö C;https://www.regeringen.se/pressmeddelanden/2026/04/regeringen-ger-gront-ljus-till-flera-storre-infrastrukturprojekt/;https://bransch.trafikverket.se/contentassets/2fca968f05c545d59749ce9d442e117a/bilaga1_nationell_plan_for_transportinfrastrukturen_2026-2037-webb.xlsx;"Byggstart decision 24 April 2026. Two new platform tracks ahead of the Fehmarn Belt opening; byggstart brought forward to 2027 with completion 2029 per secondary reporting — the government release itself gives no years, so the 2029 is medium confidence."
norrbotniabanan-dava-skelleftea;Norrbotniabanan, Dåva–Skellefteå;Nbb Dåva–Skellefteå;rail;construction;2036;;21008;2025-02;Trafikverket;Umeå|Robertsfors|Skellefteå;Sävar|Robertsfors|Bureå|Skellefteå;https://www.trafikverket.se/vara-projekt/projekt-som-stracker-sig-over-flera-lan/norrbotniabanan/;https://bransch.trafikverket.se/contentassets/2fca968f05c545d59749ce9d442e117a/bilaga1_nationell_plan_for_transportinfrastrukturen_2026-2037-webb.xlsx;Opening 2036 per the project page. The station list is Trafikverket's for the whole line, split between the stretches by geography — see caveat 3 below.
norrbotniabanan-skelleftea-lulea;Norrbotniabanan, Skellefteå–Luleå, ny järnväg;Nbb Skellefteå–Luleå;rail;study;;;37488;2025-02;Trafikverket;Skellefteå|Piteå|Luleå;Byske|Piteå|Norrfjärden|Luleå;https://www.trafikverket.se/vara-projekt/projekt-som-stracker-sig-over-flera-lan/norrbotniabanan/;https://bransch.trafikverket.se/contentassets/2fca968f05c545d59749ce9d442e117a/bilaga1_nationell_plan_for_transportinfrastrukturen_2026-2037-webb.xlsx;Still in planering in the adopted plan, with 14 353 of the 37 488 MSEK falling inside 2026–2037. The whole Norrbotniabanan is stated at 62 bn SEK in 2025 price level, which the three plan objects sum to.
norrbotniabanan-umea-dava;Norrbotniabanan, Umeå–Dåva;Nbb Umeå–Dåva;rail;construction;2026;;2679;2025-02;Trafikverket;Umeå;;https://www.trafikverket.se/vara-projekt/projekt-som-stracker-sig-over-flera-lan/norrbotniabanan/;https://bransch.trafikverket.se/contentassets/2fca968f05c545d59749ce9d442e117a/bilaga1_nationell_plan_for_transportinfrastrukturen_2026-2037-webb.xlsx;"First stretch; page states 'År 2026 kan tågen köra mellan Umeå och Dåva'. Earlier plans had this section opening in 2024."
olskroken-planskildhet;Olskroken planskildhet;Olskroken;rail;opened;2026;;4000;2020;Trafikverket;Göteborg;;https://www.trafikverket.se/vara-projekt/projekt-i-vastra-gotalands-lan/olskroken-planskildhet/;;"Grade separation handed over to Trafikverket's maintenance organisation; the Västlänken tracks through it go live in 2026. Source page last updated 2022-08-02, so both the year and the ~4 bn SEK are stale — low confidence."
ostkustbanan-dingersjo-sundsvall;Ostkustbanan, Sundsvall C–Dingersjö, dubbelspårsutbyggnad;Dingersjö–Sundsvall;rail;construction;2032;;4942;2025-02;Trafikverket;Sundsvall;;https://www.trafikverket.se/vara-projekt/projekt-i-vasternorrlands-lan/dingersjo--sundsvall-dubbelspar/;https://bransch.trafikverket.se/contentassets/2fca968f05c545d59749ce9d442e117a/bilaga1_nationell_plan_for_transportinfrastrukturen_2026-2037-webb.xlsx;12.5 km. Budget is the sum of two plan objects (Sundsvall C–Kubikenborg 877 + Kubikenborg–Dingersjö 4 065). The project page says 'cirka 4,5 miljarder' without a price base. Byggstart 2025 and 2028 respectively, both complete 2032.
ostkustbanan-fyra-spar-uppsala;Ostkustbanan, fyra spår Uppsala–länsgränsen Uppsala/Stockholm;Fyra spår Uppsala;rail;decided;2034;;17161;2025-02;Trafikverket;Uppsala|Knivsta|Sigtuna;Bergsbrunna|Alsike;https://www.trafikverket.se/vara-projekt/projekt-i-uppsala-lan/fyra-spar-uppsala/;https://bransch.trafikverket.se/contentassets/2fca968f05c545d59749ce9d442e117a/bilaga1_nationell_plan_for_transportinfrastrukturen_2026-2037-webb.xlsx;~23 km of two extra tracks, opening 2034 for both sub-stretches. Byggstart earliest late 2026 (Söder Bergsbrunna–Uppsala C) and earliest 2028 (länsgränsen–Söder Bergsbrunna).
ostkustbanan-gavle-kringlan;Ostkustbanan, Gävle–Kringlan (Axmartavlan), nytt dubbelspår;Gävle–Kringlan;rail;decided;;;11275;2025-02;Trafikverket;Gävle;;https://www.trafikverket.se/vara-projekt/projekt-i-gavleborgs-lan/gavlekringlan-axmartavlan-nytt-dubbelspar-ostkustbanan-norra-stambanan-och-bergslagsbanan/;https://bransch.trafikverket.se/contentassets/2fca968f05c545d59749ce9d442e117a/bilaga1_nationell_plan_for_transportinfrastrukturen_2026-2037-webb.xlsx;Classified 'Förberedelse för byggstart' in the plan, but the project page says an analysis is running through autumn 2026 and gives no byggstart or opening year. Has ~39 MSEK EU co-funding for system documentation.
ostlanken;Ostlänken, nytt dubbelspår Järna–Linköping;Ostlänken;rail;construction;2035;;106226;2025-02;Trafikverket;Södertälje|Trosa|Nyköping|Norrköping|Linköping;Vagnhärad|Nyköping|Skavsta|Norrköping|Linköping;https://www.trafikverket.se/vara-projekt/projekt-som-stracker-sig-over-flera-lan/ostlanken-en-ny-dubbelsparig-jarnvag/;https://bransch.trafikverket.se/contentassets/2fca968f05c545d59749ce9d442e117a/bilaga1_nationell_plan_for_transportinfrastrukturen_2026-2037-webb.xlsx;"~150 km for 250 km/h; construction 2024–2034, traffic 2035. Plan cost excluding co-financing is 102 825 MSEK, matching the project page's '102,8 miljarder i 2025 års prisnivå'; 106 226 adds co-financing. Footnote (7) in the plan records that the pre-decision cost ceiling was 91,4 bn in price base 2021-02."
ostlig-forbindelse-utredning;Östlig förbindelse, utredning;Östlig förbindelse;road;study;;;1000;2025-02;Trafikverket;;;https://bransch.trafikverket.se/for-dig-i-branschen/Planera-och-utreda/langsiktig-planering-av-infrastruktur/nationell-plan/nationell-plan-2026-2037/;https://bransch.trafikverket.se/contentassets/2fca968f05c545d59749ce9d442e117a/bilaga1_nationell_plan_for_transportinfrastrukturen_2026-2037-webb.xlsx;Plan object VOR2606. The 1 000 MSEK funds the study only, not construction — do not present it as a project budget. No kommuner are named in the plan row.
roslagsbanan-till-city;Roslagsbanan till City, förlängning och nya stationer;Roslagsbanan City;rail;decided;;;9426;2025-02;Region Stockholm;Stockholm|Täby|Vallentuna|Österåker;Odenplan|T-Centralen;https://www.regionstockholm.se/kollektivtrafik/projekt-inom-kollektivtrafiken/sparvagnlokalbana/roslagsbanan-till-city/;https://bransch.trafikverket.se/contentassets/2fca968f05c545d59749ce9d442e117a/bilaga1_nationell_plan_for_transportinfrastrukturen_2026-2037-webb.xlsx;~4 km tunnel from Universitetet via Odenplan to T-Centralen. Page gives preparatory works from 2028 and main works from 2030 but states no traffic start, so open_year is blank.
sparvag-lund-c-ess;Spårväg Lund C–ESS;Spårväg Lund;tram;opened;2020;;1066;2025-02;Lunds kommun;Lund;Lund C|Universitetssjukhuset|LTH|Ideontorget|Telefonplan|Solbjer|Brunnshögstorget|MAX IV|ESS;https://lund.se/stadsutveckling-och-trafik/kollektivtrafik/sparvag-lund-c-till-ess;https://bransch.trafikverket.se/contentassets/2fca968f05c545d59749ce9d442e117a/bilaga1_nationell_plan_for_transportinfrastrukturen_2026-2037-webb.xlsx;"Opened December 2020, 5.5 km double track. lund.se states the municipality's own investment as ~890 MSEK with 373 MSEK state funding, price base not given; the plan's total object cost is 1 066 MSEK in 2025-02."
sparvag-syd;Spårväg syd, Flemingsberg–Skärholmen (etapp 1);Spårväg syd;tram;decided;;;7245;2025-02;Region Stockholm;Huddinge|Stockholm;;https://www.regionstockholm.se/sparvagsyd/;https://bransch.trafikverket.se/contentassets/2fca968f05c545d59749ce9d442e117a/bilaga1_nationell_plan_for_transportinfrastrukturen_2026-2037-webb.xlsx;Etapp 1 is ~10 km with eight stations, whose names the page does not publish. Full line Flemingsberg–Älvsjö is ~17 km. No byggstart or trafikstart on the page.
sundsvall-resecentrum;Sundsvall resecentrum, tillgänglighet och plattformar;Sundsvall C;rail;construction;2031;;1174;2025-02;Trafikverket;Sundsvall;Sundsvall C;https://www.trafikverket.se/vara-projekt/projekt-i-vasternorrlands-lan/sundsvall-tillganglighet-och-resecentrum/;https://bransch.trafikverket.se/contentassets/2fca968f05c545d59749ce9d442e117a/bilaga1_nationell_plan_for_transportinfrastrukturen_2026-2037-webb.xlsx;"New platforms and a glazed overbridge; construction 2023–2031, footbridge 2028–2030."
sydostlanken;Sydostlänken (Älmhult–Olofström–Karlshamn), elektrifiering och ny bana;Sydostlänken;rail;decided;;;7890;2025-02;Trafikverket;Älmhult|Olofström|Karlshamn;;https://www.trafikverket.se/vara-projekt/projekt-som-stracker-sig-over-flera-lan/sydostlanken/;https://bransch.trafikverket.se/contentassets/2fca968f05c545d59749ce9d442e117a/bilaga1_nationell_plan_for_transportinfrastrukturen_2026-2037-webb.xlsx;"Government cleared preparation for byggstart 4 July 2024; byggstart planned 2029. 41 km electrification Älmhult–Olofström plus 17 km of new track to Blekinge kustbana. No opening year published."
tunnelbana-akalla-barkarby;Tunnelbanans blå linje, Akalla–Barkarby;T-bana Barkarby;metro;construction;2027;;;;Region Stockholm;Stockholm|Järfälla;Barkarbystaden|Barkarby;https://nyatunnelbanan.se/barkarby/;;"Page states traffic start December 2027; 4 km extension from Akalla. No per-line budget is published — the 55.5 bn SEK (2016 price level) figure covers all of nya tunnelbanan."
tunnelbana-fridhemsplan-alvsjo;Tunnelbanans gula linje, Fridhemsplan–Älvsjö;T-bana Älvsjö;metro;construction;;;16337;2025-02;Region Stockholm;Stockholm;Fridhemsplan|Liljeholmen|Årstaberg|Årstafältet|Östbergahöjden|Älvsjö;https://nyatunnelbanan.se/gul-linje/;https://bransch.trafikverket.se/contentassets/2fca968f05c545d59749ce9d442e117a/bilaga1_nationell_plan_for_transportinfrastrukturen_2026-2037-webb.xlsx;Project page gives construction start 2026 and roughly nine years' build but no opening year, so open_year is left blank. Budget is plan object SVF1801 'Älvsjö-Fridhemsplan, tunnelbana och nya stationer'. Driverless trains and platform screen doors.
tunnelbana-kungstradgarden-nacka;Tunnelbanans blå linje, Kungsträdgården–Nacka;T-bana Nacka;metro;construction;2030;;;;Region Stockholm;Stockholm|Nacka;Sofia|Hammarby kanal|Sickla|Järla|Nacka;https://nyatunnelbanan.se/nacka-soderort;;"Nacka and Söderort share one project page and one stated traffic start of 2030; station Sofia serves both branches."
tunnelbana-odenplan-arenastaden;Tunnelbanans gröna linje, Odenplan–Arenastaden;T-bana Arenastaden;metro;construction;2028;;;;Region Stockholm;Stockholm|Solna;Hagastaden|Södra Hagalund|Arenastaden;https://nyatunnelbanan.se/arenastaden/;;"Page states traffic start 2028; which southern branch the line will run to (Gullmarsplan, Farsta or Skarpnäck) is not yet decided."
tunnelbana-soderort;Tunnelbanans blå linje till Söderort;T-bana Söderort;metro;construction;2030;;;;Region Stockholm;Stockholm;Sofia|Gullmarsplan|Slakthusområdet;https://nyatunnelbanan.se/nacka-soderort;;"Blue line takes over the Hagsätra branch; Gullmarsplan gets a new platform beneath the green line."
tvarforbindelse-sodertorn;E4/Lv 259 Tvärförbindelse Södertörn;Tvärförb. Södertörn;road;decided;;;23582;2025-02;Trafikverket;Huddinge|Haninge|Botkyrka;;https://www.trafikverket.se/vara-projekt/projekt-i-stockholms-lan/vag-259-tvarforbindelse-sodertorn/;https://bransch.trafikverket.se/contentassets/2fca968f05c545d59749ce9d442e117a/bilaga1_nationell_plan_for_transportinfrastrukturen_2026-2037-webb.xlsx;"Byggstart decision 28 April 2026; road plan legally binding January 2024. ~20 km Kungens kurva–Flemingsberg–Jordbro, about a quarter in tunnel. No opening year published. 19 502 of the 23 582 MSEK falls inside 2026–2037."
uppsala-sparvag;Uppsala spårväg;Uppsala spårväg;tram;construction;2029;;;;Uppsala kommun;Uppsala;;https://www.uppsala.se/bygga-och-bo/samhallsbyggnad-och-planering/samhallsbyggnad-och-arkitektur/uppsala-sparvag/;;Phase 2 (genomförande) began 2 July 2026. The 2029 opening is what the overview page states, but the page carries no update date and the dedicated timeline page 404s — treat the year as soft. The Ultunalänken component has no published completion date.
vanersjofarten-trollhatte-kanal;Vänersjöfarten, nya slussar i Trollhätte kanal/Göta älv;Slussar Trollhättan;other;decided;;2032–2034;8184;2025-02;Trafikverket och Sjöfartsverket;Trollhättan|Vänersborg|Lilla Edet;;https://www.trafikverket.se/vara-projekt/projekt-i-vastra-gotalands-lan/slussar-i-trollhatte-kanal/;https://bransch.trafikverket.se/contentassets/2fca968f05c545d59749ce9d442e117a/bilaga1_nationell_plan_for_transportinfrastrukturen_2026-2037-webb.xlsx;"Byggstart by site: Lilla Edet Q2 2027, Trollhättan Q2 2028, Vänersborg Q2 2029; all locks in operation 2032–2034. The project page states 6,1 miljarder in 2021 price level and explicitly says the current-price figure is not yet confirmed."
varbergstunneln;Varberg, dubbelspår (tunnel) inklusive resecentrum;Varbergstunneln;rail;opened;2025;;9916;2025-02;Trafikverket;Varberg;Varberg;https://www.trafikverket.se/vara-projekt/projekt-i-hallands-lan/varbergstunneln/;https://bransch.trafikverket.se/contentassets/2fca968f05c545d59749ce9d442e117a/bilaga1_nationell_plan_for_transportinfrastrukturen_2026-2037-webb.xlsx;"Opened 14 July 2025; 9 km double track with a 3 km city-centre tunnel and a relocated station. The project page states 8,6 miljarder in 2021 price level; 9 916 MSEK is the plan's total object cost in 2025-02 including co-financing from Varbergs kommun, Region Halland and Jernhusen."
varmlandsbanan-karlstad-kil;Värmlandsbanan, Karlstad–Kil, dubbelspår;Karlstad–Kil;rail;study;;;2100;2025-02;Trafikverket;Karlstad|Kil;;https://bransch.trafikverket.se/for-dig-i-branschen/Planera-och-utreda/langsiktig-planering-av-infrastruktur/nationell-plan/nationell-plan-2026-2037/;https://bransch.trafikverket.se/contentassets/2fca968f05c545d59749ce9d442e117a/bilaga1_nationell_plan_for_transportinfrastrukturen_2026-2037-webb.xlsx;Plan object JVA2219, phase 'Planering', fully inside the plan period. No dedicated project page found.
